Mod:Item:MetaData, Localized Name
minecraft:stone, 石头
minecraft:grass, 草方块
minecraft:dirt:0, 泥土
minecraft:dirt:2, 灰化土
minecraft:cobblestone, 圆石
minecraft:planks:0, 橡木木板
minecraft:planks:1, 云杉木板
minecraft:planks:2, 白桦木板
minecraft:planks:3, 丛林木板
minecraft:planks:4, 金合欢木板
minecraft:planks:5, 深色橡木木板
minecraft:sapling:0, 橡树树苗
minecraft:sapling:1, 云杉树苗
minecraft:sapling:2, 白桦树苗
minecraft:sapling:3, 丛林树苗
minecraft:sapling:4, 金合欢树苗
minecraft:sapling:5, 深色橡树树苗
minecraft:bedrock, 基岩
minecraft:flowing_water, 水
minecraft:water, 水
minecraft:flowing_lava, 岩浆
minecraft:lava, 岩浆
minecraft:sand:0, 沙子
minecraft:sand:1, 红沙
minecraft:gravel, 沙砾
minecraft:gold_ore, 金矿石
minecraft:iron_ore, 铁矿石
minecraft:coal_ore, 煤矿石
minecraft:log:0, 橡木
minecraft:log:1, 云杉木
minecraft:log:2, 白桦木
minecraft:log:3, 丛林木
minecraft:leaves:0, 橡树树叶
minecraft:leaves:1, 云杉树叶
minecraft:leaves:2, 白桦树叶
minecraft:leaves:3, 丛林树叶
minecraft:sponge, 海绵
minecraft:glass, 玻璃
minecraft:lapis_ore, 青金石矿石
minecraft:lapis_block, 青金石块
minecraft:dispenser, 发射器
minecraft:sandstone:0, 沙石
minecraft:sandstone:1, 錾制沙石
minecraft:sandstone:2, 平滑沙石
minecraft:noteblock, 音符盒
minecraft:golden_rail, 推进轨道
minecraft:detector_rail, 感应轨道
minecraft:sticky_piston, 粘性活塞
minecraft:web, 蜘蛛网
minecraft:tallgrass:1, 草
minecraft:tallgrass:2, 蕨
minecraft:deadbush, 枯死的灌木
minecraft:piston, 活塞
minecraft:wool:0, 羊毛
minecraft:wool:1, 橙色羊毛
minecraft:wool:2, 品红色羊毛
minecraft:wool:3, 淡蓝色羊毛
minecraft:wool:4, 黄色羊毛
minecraft:wool:5, 黄绿色羊毛
minecraft:wool:6, 粉红色羊毛
minecraft:wool:7, 灰色羊毛
minecraft:wool:8, 淡灰色羊毛
minecraft:wool:9, 青色羊毛
minecraft:wool:10, 紫色羊毛
minecraft:wool:11, 蓝色羊毛
minecraft:wool:12, 棕色羊毛
minecraft:wool:13, 绿色羊毛
minecraft:wool:14, 红色羊毛
minecraft:wool:15, 黑色羊毛
minecraft:yellow_flower:0, 蒲公英
minecraft:red_flower:0, 罂粟
minecraft:red_flower:1, 兰花
minecraft:red_flower:2, 绒球葱
minecraft:red_flower:3, 茜草花
minecraft:red_flower:4, 红色郁金香
minecraft:red_flower:5, 橙色郁金香
minecraft:red_flower:6, 白色郁金香
minecraft:red_flower:7, 粉红色郁金香
minecraft:red_flower:8, 滨菊
minecraft:brown_mushroom, 蘑菇
minecraft:red_mushroom, 蘑菇
minecraft:gold_block, 金块
minecraft:iron_block, 铁块
minecraft:stone_slab:0, 石台阶
minecraft:stone_slab:1, 沙石台阶
minecraft:stone_slab:3, 圆石台阶
minecraft:stone_slab:4, 砖台阶
minecraft:stone_slab:5, 石砖台阶
minecraft:stone_slab:6, 地狱砖台阶
minecraft:stone_slab:7, 石英台阶
minecraft:brick_block, 砖块
minecraft:tnt, TNT
minecraft:bookshelf, 书架
minecraft:mossy_cobblestone, 苔石
minecraft:obsidian, 黑曜石
minecraft:torch, 火把
minecraft:fire, 火
minecraft:mob_spawner:0, 刷怪箱
minecraft:oak_stairs, 橡木楼梯
minecraft:chest, 箱子
minecraft:diamond_ore, 钻石矿石
minecraft:diamond_block, 钻石块
minecraft:crafting_table, 工作台
minecraft:farmland, 耕地
minecraft:furnace, 熔炉
minecraft:lit_furnace, 熔炉
minecraft:ladder, 梯子
minecraft:rail, 轨道
minecraft:stone_stairs, 石楼梯
minecraft:lever, 拉杆
minecraft:stone_pressure_plate, 压力板
minecraft:wooden_pressure_plate, 压力板
minecraft:redstone_ore, 红石矿石
minecraft:redstone_torch, 红石火把
minecraft:stone_button, 按钮
minecraft:snow_layer:0, 雪
minecraft:ice, 冰
minecraft:snow, 雪
minecraft:cactus, 仙人掌
minecraft:clay, 粘土块
minecraft:jukebox, 唱片机
minecraft:fence, 栅栏
minecraft:pumpkin, 南瓜
minecraft:netherrack, 地狱岩
minecraft:soul_sand, 灵魂沙
minecraft:glowstone, 萤石
minecraft:portal, 传送门
minecraft:lit_pumpkin, 南瓜灯
minecraft:stained_glass:0, 白色染色玻璃
minecraft:stained_glass:1, 橙色染色玻璃
minecraft:stained_glass:2, 品红色染色玻璃
minecraft:stained_glass:3, 淡蓝色染色玻璃
minecraft:stained_glass:4, 黄色染色玻璃
minecraft:stained_glass:5, 黄绿色染色玻璃
minecraft:stained_glass:6, 粉红色染色玻璃
minecraft:stained_glass:7, 灰色染色玻璃
minecraft:stained_glass:8, 淡灰色染色玻璃
minecraft:stained_glass:9, 青色染色玻璃
minecraft:stained_glass:10, 紫色染色玻璃
minecraft:stained_glass:11, 蓝色染色玻璃
minecraft:stained_glass:12, 棕色染色玻璃
minecraft:stained_glass:13, 绿色染色玻璃
minecraft:stained_glass:14, 红色染色玻璃
minecraft:stained_glass:15, 黑色染色玻璃
minecraft:trapdoor, 活板门
minecraft:monster_egg:0, 石头怪物蛋
minecraft:monster_egg:1, 圆石怪物蛋
minecraft:monster_egg:2, 石砖怪物蛋
minecraft:monster_egg:3, 苔石砖怪物蛋
minecraft:monster_egg:4, 裂石砖怪物蛋
minecraft:monster_egg:5, 錾制石砖怪物蛋
minecraft:stonebrick:0, 石砖
minecraft:stonebrick:1, 苔石砖
minecraft:stonebrick:2, 裂石砖
minecraft:stonebrick:3, 錾制石砖
minecraft:brown_mushroom_block, 蘑菇
minecraft:red_mushroom_block, 蘑菇
minecraft:iron_bars, 铁栏杆
minecraft:glass_pane, 玻璃板
minecraft:melon_block, 西瓜
minecraft:vine, 藤蔓
minecraft:fence_gate, 橡木栅栏门
minecraft:brick_stairs, 砖楼梯
minecraft:stone_brick_stairs, 石砖楼梯
minecraft:mycelium, 菌丝
minecraft:waterlily, 睡莲
minecraft:nether_brick, 地狱砖块
minecraft:nether_brick_fence, 地狱砖栅栏
minecraft:nether_brick_stairs, 地狱砖楼梯
minecraft:enchanting_table, 附魔台
minecraft:end_portal, tile.null.name
minecraft:end_portal_frame, 末地传送门
minecraft:end_stone, 末地石
minecraft:dragon_egg, 龙蛋
minecraft:redstone_lamp, 红石灯
minecraft:wooden_slab:0, 橡木台阶
minecraft:wooden_slab:1, 云杉台阶
minecraft:wooden_slab:2, 桦木台阶
minecraft:wooden_slab:3, 丛林台阶
minecraft:wooden_slab:4, 金合欢木台阶
minecraft:wooden_slab:5, 深色橡木台阶
minecraft:cocoa, 可可果
minecraft:sandstone_stairs, 沙石楼梯
minecraft:emerald_ore, 绿宝石矿石
minecraft:ender_chest, 末影箱
minecraft:tripwire_hook, 绊线钩
minecraft:emerald_block, 绿宝石块
minecraft:spruce_stairs, 云杉木楼梯
minecraft:birch_stairs, 桦木楼梯
minecraft:jungle_stairs, 丛林木楼梯
minecraft:command_block, 命令方块
minecraft:beacon, 信标
minecraft:cobblestone_wall:0, 圆石墙
minecraft:cobblestone_wall:1, 苔石墙
minecraft:carrots, 胡萝卜
minecraft:potatoes, 马铃薯
minecraft:wooden_button, 按钮
minecraft:anvil:0, 铁砧
minecraft:anvil:1, 轻微损坏的铁砧
minecraft:anvil:2, 严重损坏的铁砧
minecraft:trapped_chest, 陷阱箱
minecraft:light_weighted_pressure_plate, 测重压力板 (轻质)
minecraft:heavy_weighted_pressure_plate, 测重压力板 (重质)
minecraft:daylight_detector, 阳光传感器
minecraft:redstone_block, 红石块
minecraft:quartz_ore, 下界石英矿石
minecraft:hopper, 漏斗
minecraft:quartz_block:0, 石英块
minecraft:quartz_block:1, 錾制石英块
minecraft:quartz_block:2, 竖纹石英块
minecraft:quartz_stairs, 石英楼梯
minecraft:activator_rail, 激活轨道
minecraft:dropper, 投掷器
minecraft:stained_hardened_clay:0, 白色染色粘土
minecraft:stained_hardened_clay:1, 橙色染色粘土
minecraft:stained_hardened_clay:2, 品红色染色粘土
minecraft:stained_hardened_clay:3, 淡蓝色染色粘土
minecraft:stained_hardened_clay:4, 黄色染色粘土
minecraft:stained_hardened_clay:5, 黄绿色染色粘土
minecraft:stained_hardened_clay:6, 粉色染色粘土
minecraft:stained_hardened_clay:7, 灰色染色粘土
minecraft:stained_hardened_clay:8, 淡灰色染色粘土
minecraft:stained_hardened_clay:9, 青色染色粘土
minecraft:stained_hardened_clay:10, 紫色染色粘土
minecraft:stained_hardened_clay:11, 蓝色染色粘土
minecraft:stained_hardened_clay:12, 棕色染色粘土
minecraft:stained_hardened_clay:13, 绿色染色粘土
minecraft:stained_hardened_clay:14, 红色染色粘土
minecraft:stained_hardened_clay:15, 黑色染色粘土
minecraft:stained_glass_pane:0, 白色染色玻璃板
minecraft:stained_glass_pane:1, 橙色染色玻璃板
minecraft:stained_glass_pane:2, 品红色染色玻璃板
minecraft:stained_glass_pane:3, 淡蓝色染色玻璃板
minecraft:stained_glass_pane:4, 黄色染色玻璃板
minecraft:stained_glass_pane:5, 黄绿色染色玻璃板
minecraft:stained_glass_pane:6, 粉红色染色玻璃板
minecraft:stained_glass_pane:7, 灰色染色玻璃板
minecraft:stained_glass_pane:8, 淡灰色染色玻璃板
minecraft:stained_glass_pane:9, 青色染色玻璃板
minecraft:stained_glass_pane:10, 紫色染色玻璃板
minecraft:stained_glass_pane:11, 蓝色染色玻璃板
minecraft:stained_glass_pane:12, 棕色染色玻璃板
minecraft:stained_glass_pane:13, 绿色染色玻璃板
minecraft:stained_glass_pane:14, 红色染色玻璃板
minecraft:stained_glass_pane:15, 黑色染色玻璃板
minecraft:leaves2:0, 金合欢树叶
minecraft:leaves2:1, 深色橡树树叶
minecraft:log2:0, 金合欢木
minecraft:log2:1, 深色橡木
minecraft:acacia_stairs, 金合欢木楼梯
minecraft:dark_oak_stairs, 深色橡木楼梯 
DCsAppleMilk:defeatedcrow.teaMakerNext, 制茶机
DCsAppleMilk:defeatedcrow.teaMakerBlack, 黑曜石制茶机
DCsAppleMilk:defeatedcrow.emptyCup, 空茶杯
DCsAppleMilk:defeatedcrow.emptyPanG, 砂锅
DCsAppleMilk:defeatedcrow.filledSoupPan:0, 砂锅
minecraft:hay_block, 干草块
minecraft:carpet:0, 地毯
minecraft:carpet:1, 橙色地毯
minecraft:carpet:2, 品红色地毯
minecraft:carpet:3, 淡蓝色地毯
minecraft:carpet:4, 黄色地毯
minecraft:carpet:5, 黄绿色地毯
minecraft:carpet:6, 粉红色地毯
minecraft:carpet:7, 灰色地毯
minecraft:carpet:8, 淡灰色地毯
minecraft:carpet:9, 青色地毯
minecraft:carpet:10, 紫色地毯
minecraft:carpet:11, 蓝色地毯
minecraft:carpet:12, 棕色地毯
minecraft:carpet:13, 绿色地毯
minecraft:carpet:14, 红色地毯
minecraft:carpet:15, 黑色地毯
minecraft:hardened_clay, 硬化粘土
minecraft:coal_block, 煤炭块
minecraft:packed_ice, 浮冰
minecraft:double_plant:0, 向日葵
minecraft:double_plant:1, 丁香
minecraft:double_plant:2, 高草丛
minecraft:double_plant:3, 大型蕨
minecraft:double_plant:4, 玫瑰丛
minecraft:double_plant:5, 牡丹
DCsAppleMilk:defeatedcrow.iceMaker, 刨冰机
DCsAppleMilk:defeatedcrow.teppanII, 烹饪铁板
DCsAppleMilk:defeatedcrow.processor, 食品加工机
DCsAppleMilk:defeatedcrow.advProcessor, 颚式粉碎机
DCsAppleMilk:defeatedcrow.evaporator, 减压蒸馏器
DCsAppleMilk:defeatedcrow.redGel, 红石凝胶
DCsAppleMilk:defeatedcrow.lightGel, 柚子凝胶
DCsAppleMilk:defeatedcrow.yuzuBatContainer, 柚子电池复合体
DCsAppleMilk:defeatedcrow.gelBatContainer, 电池方块
DCsAppleMilk:defeatedcrow.batBox, 充电设备
DCsAppleMilk:defeatedcrow.EHandle, 手摇式充电器
DCsAppleMilk:defeatedcrow.WoodBox:0, 橡木箱
DCsAppleMilk:defeatedcrow.WoodBox:1, 云衫木箱
DCsAppleMilk:defeatedcrow.WoodBox:2, 桦木箱
DCsAppleMilk:defeatedcrow.WoodBox:3, 丛林木箱
DCsAppleMilk:defeatedcrow.WoodBox:4, 橡胶木箱
DCsAppleMilk:defeatedcrow.WoodBox:5, 宏伟之木箱
DCsAppleMilk:defeatedcrow.WoodBox:6, 银树木箱
DCsAppleMilk:defeatedcrow.WoodBox:7, 力量木箱
DCsAppleMilk:defeatedcrow.WoodBox:8, 樱花木箱
DCsAppleMilk:defeatedcrow.WoodBox:9, 秋叶木箱
DCsAppleMilk:defeatedcrow.WoodBox:10, 日本雪松箱
DCsAppleMilk:defeatedcrow.WoodBox:11, 深色橡树原木箱
DCsAppleMilk:defeatedcrow.WoodBox:12, 合金欢树原木箱
DCsAppleMilk:defeatedcrow.AppleBox, 装箱苹果
DCsAppleMilk:defeatedcrow.VegiBag:0, 茶叶袋
DCsAppleMilk:defeatedcrow.VegiBag:1, 马铃薯袋
DCsAppleMilk:defeatedcrow.VegiBag:2, 胡萝卜袋
DCsAppleMilk:defeatedcrow.VegiBag:3, 南瓜袋
DCsAppleMilk:defeatedcrow.VegiBag:4, 种子袋
DCsAppleMilk:defeatedcrow.VegiBag:5, 甘蔗袋
DCsAppleMilk:defeatedcrow.VegiBag:6, 仙人掌袋
DCsAppleMilk:defeatedcrow.VegiBag:7, 可可袋
DCsAppleMilk:defeatedcrow.VegiBag:8, 地狱疣袋
DCsAppleMilk:defeatedcrow.VegiBag:9, 糖袋
DCsAppleMilk:defeatedcrow.cardboardBox:0, 装薄荷的纸板箱
DCsAppleMilk:defeatedcrow.cardboardBox:1, 装黑加仑的纸板箱
DCsAppleMilk:defeatedcrow.cardboardBox:2, 装柚子的纸板箱
DCsAppleMilk:defeatedcrow.cardboardBox:3, 装山茶花的纸板箱
DCsAppleMilk:defeatedcrow.cardboardBox:4, 装咖啡的纸板箱
DCsAppleMilk:defeatedcrow.cardboardBox:5, 装竹子的纸板箱
DCsAppleMilk:defeatedcrow.cardboardBox:6, 装番茄的纸板箱
DCsAppleMilk:defeatedcrow.cardboardBox:7, 装葡萄的纸板箱
DCsAppleMilk:defeatedcrow.Charcoalcontainer, 装箱木炭
DCsAppleMilk:defeatedcrow.GunpowderContainer:0, 火药集装箱
DCsAppleMilk:defeatedcrow.GunpowderContainer:1, 前菜集装箱
DCsAppleMilk:defeatedcrow.GunpowderContainer:2, 粘土集装箱
DCsAppleMilk:defeatedcrow.GunpowderContainer:3, 蛤集装箱
DCsAppleMilk:defeatedcrow.mobDropBox:0, 腐肉箱
DCsAppleMilk:defeatedcrow.mobDropBox:1, 骨箱
DCsAppleMilk:defeatedcrow.mobDropBox:2, 装蜘蛛眼的纸板箱
DCsAppleMilk:defeatedcrow.mobDropBox:3, 装末影珍珠的纸板箱
DCsAppleMilk:defeatedcrow.mobDropBox:4, 装粘液球的纸板箱
DCsAppleMilk:defeatedcrow.flowerPot:0, 花篮(红)
DCsAppleMilk:defeatedcrow.flowerPot:4, 花篮(黄)
DCsAppleMilk:defeatedcrow.flowerVase:0, 玫瑰花束
DCsAppleMilk:defeatedcrow.flowerVase:1, 牡丹花束
DCsAppleMilk:defeatedcrow.flowerVase:2, 丁香花束
DCsAppleMilk:defeatedcrow.flowerVase:3, 向日葵花束
DCsAppleMilk:defeatedcrow.hedge:0, 杨木树篱
DCsAppleMilk:defeatedcrow.hedge:1, 罗汉松树篱
DCsAppleMilk:defeatedcrow.hedge:2, 石楠树篱
DCsAppleMilk:defeatedcrow.hedge:3, 丝瓜格栅
DCsAppleMilk:defeatedcrow.hedge:4, 桂树树篱
DCsAppleMilk:defeatedcrow.hedge:6, 枸橘树篱
DCsAppleMilk:defeatedcrow.containerBottleW:7, 水瓶箱
DCsAppleMilk:defeatedcrow.containerSaddle:7, 鞍箱
DCsAppleMilk:defeatedcrow.saplingTea:0, 茶苗木
DCsAppleMilk:defeatedcrow.saplingTea:1, 黑穗醋栗苗木
DCsAppleMilk:defeatedcrow.saplingTea:2, 山茶树苗
DCsAppleMilk:defeatedcrow.teaTree:0, 茶树
DCsAppleMilk:defeatedcrow.teaTree:1, 茶树(成熟)
DCsAppleMilk:defeatedcrow.cassisTree:3, 黑穗醋栗(成熟）
DCsAppleMilk:defeatedcrow.cassisTree:7, 山茶花(成熟)
DCsAppleMilk:defeatedcrow.saplingYuzu, 柚子树苗
DCsAppleMilk:defeatedcrow.logYuzu, 柚子原木
DCsAppleMilk:defeatedcrow.leavesYuzu:3, 柚子
DCsAppleMilk:defeatedcrow.clamSand:0, 沙(藏有蛤)
DCsAppleMilk:defeatedcrow.cropMint, 薄荷树树苗
DCsAppleMilk:defeatedcrow.emptyBottle, 空瓶
DCsAppleMilk:defeatedcrow.largeBottle:0, tile.defeatedcrow.largeBottle_0.name
DCsAppleMilk:defeatedcrow.blockBarrel, 酿造桶
DCsAppleMilk:defeatedcrow.blockDummyAlcohol:0, tile.defeatedcrow.blockDummyAlcohol_0.name
DCsAppleMilk:defeatedcrow.blockDummyAlcohol2:0, tile.defeatedcrow.blockDummyAlcohol2_0.name
DCsAppleMilk:defeatedcrow.flintBlock, 燧石块
DCsAppleMilk:defeatedcrow.chalcedony:0, 玉髓块
DCsAppleMilk:defeatedcrow.chalcedony:1, 橙色玉髓块
DCsAppleMilk:defeatedcrow.chalcedony:2, 白色玉髓块
DCsAppleMilk:defeatedcrow.chalcedony:3, 黑色玉髓块
DCsAppleMilk:defeatedcrow.chalcedonyLamp:0, 蓝玉髓荧光块
DCsAppleMilk:defeatedcrow.chalcedonyLamp:1, 橙玉髓荧光块
DCsAppleMilk:defeatedcrow.chalcedonyLamp:2, 白玉髓荧光块
DCsAppleMilk:defeatedcrow.chalcedonyLamp:3, 黑玉髓荧光块
DCsAppleMilk:defeatedcrow.chalcedonyLamp:4, 蓝玉髓玻璃灯
DCsAppleMilk:defeatedcrow.chalcedonyLamp:5, 橙玉髓玻璃灯
DCsAppleMilk:defeatedcrow.chalcedonyLamp:6, 白玉髓玻璃灯
DCsAppleMilk:defeatedcrow.chalcedonyLamp:7, 黑玉髓玻璃灯
DCsAppleMilk:defeatedcrow.chalcedonyLamp:8, 玉髓烛台
DCsAppleMilk:defeatedcrow.chalcedonyLamp:9, 玉髓台灯
DCsAppleMilk:defeatedcrow.chalcedonyLamp:10, 玉髓落地灯
DCsAppleMilk:defeatedcrow.chalcedonyLamp:11, 玉髓东洋灯
DCsAppleMilk:defeatedcrow.chalcedonyLampOp:0, 不透明玉髓灯
DCsAppleMilk:defeatedcrow.chalcedonyLampOp:1, 不透明橙玉髓灯
DCsAppleMilk:defeatedcrow.chalcedonyLampOp:2, 不透明白玉髓灯
DCsAppleMilk:defeatedcrow.chalcedonyLampOp:3, 不透明黑玉髓灯
DCsAppleMilk:defeatedcrow.chalcedonyPanel, 玉髄压力板
DCsAppleMilk:defeatedcrow.incenseBase, 玉髓香炉
DCsAppleMilk:defeatedcrow.basket:0, 面包篮(0/5)
DCsAppleMilk:defeatedcrow.basket:5, 面包篮(5/5)
DCsAppleMilk:defeatedcrow.basket:14, 瓶箱(9/9)
DCsAppleMilk:defeatedcrow.bowlRack:0, 碗架(0/3)
DCsAppleMilk:defeatedcrow.chopsticksBox:0, 筷子架(0/4)
DCsAppleMilk:defeatedcrow.chopsticksBox:4, 筷子架(4/4)
DCsAppleMilk:defeatedcrow.eggBasket:0, 蛋篮
DCsAppleMilk:defeatedcrow.eggBasket:1, 黑蛋篮
DCsAppleMilk:defeatedcrow.mushroomBox:0, 红色蘑菇盒子
DCsAppleMilk:defeatedcrow.mushroomBox:1, 棕色蘑菇盒子
DCsAppleMilk:defeatedcrow.melonBomb:0, 压缩西瓜
DCsAppleMilk:defeatedcrow.melonSilky:0, 平滑压缩西瓜
DCsAppleMilk:defeatedcrow.wipeBox:0, 抽纸盒
DCsAppleMilk:defeatedcrow.wipeBox:1, 纸巾盒
DCsAppleMilk:defeatedcrow.wipeBox2, A4纸箱
DCsAppleMilk:defeatedcrow.rotaryDial, 旋转拨号电话
DCsAppleMilk:defeatedcrow.yuzuFence, 带刺的栅栏
DCsAppleMilk:defeatedcrow.woodPanel:0, 碎料板
DCsAppleMilk:defeatedcrow.crowFigure, 乌鸦玩偶
DCsAppleMilk:defeatedcrow.bowlBlock:0, (煮熟)米饭
DCsAppleMilk:defeatedcrow.bowlBlock:1, 炖蘑菇
DCsAppleMilk:defeatedcrow.bowlBlock:2, 鲑鱼炖
DCsAppleMilk:defeatedcrow.bowlBlock:3, 鸡肉菜粥(汤饭)
DCsAppleMilk:defeatedcrow.bowlBlock:4, 什锦炒饭
DCsAppleMilk:defeatedcrow.bowlBlock:5, 豆腐锅
DCsAppleMilk:defeatedcrow.bowlBlock:6, 南瓜汤
DCsAppleMilk:defeatedcrow.bowlBlock:7, 培根生菜番茄汤
